iter	Passed	Remaining
0	147	146863
1	148	73951
2	149	49582
3	150	37456
4	151	30134
5	152	25242
6	153	21758
7	154	19121
8	155	17085
9	156	15458
10	157	14116
11	158	13009
12	158	12065
13	159	11258
14	160	10567
15	161	9953
16	162	9411
17	163	8933
18	164	8505
19	165	8125
20	166	7772
21	167	7455
22	168	7166
23	169	6903
24	171	6672
25	172	6452
26	173	6243
27	174	6052
28	175	5878
29	176	5704
30	177	5546
31	178	5396
32	179	5259
33	180	5125
34	181	4997
35	182	4888
36	183	4774
37	184	4666
38	185	4563
39	186	4468
40	187	4382
41	188	4295
42	189	4211
43	190	4132
44	191	4059
45	192	3992
46	193	3927
47	194	3864
48	195	3799
49	196	3736
50	197	3678
51	198	3620
52	199	3572
53	200	3520
54	201	3469
55	203	3423
56	204	3376
57	205	3331
58	206	3288
59	207	3248
60	208	3207
61	209	3166
62	210	3128
63	211	3090
64	212	3053
65	213	3020
66	214	2984
67	214	2945
68	215	2914
69	216	2881
70	217	2851
71	218	2822
72	219	2792
73	220	2763
74	221	2736
75	222	2710
76	223	2682
77	224	2658
78	225	2632
79	226	2608
80	227	2584
81	228	2560
82	229	2539
83	230	2517
84	231	2494
85	232	2475
86	233	2454
87	234	2435
88	235	2414
89	236	2395
90	237	2374
91	238	2358
92	239	2338
93	240	2320
94	241	2301
95	242	2284
96	243	2266
97	244	2249
98	245	2232
99	246	2217
100	247	2201
101	247	2181
102	248	2166
103	249	2152
104	250	2137
105	251	2122
106	252	2108
107	253	2093
108	254	2079
109	255	2066
110	256	2052
111	257	2039
112	258	2028
113	259	2016
114	260	2005
115	261	1993
116	262	1982
117	263	1971
118	264	1958
119	265	1946
120	266	1934
121	267	1924
122	267	1909
123	268	1898
124	269	1888
125	270	1877
126	271	1867
127	272	1855
128	273	1845
129	274	1834
130	275	1825
131	276	1816
132	277	1806
133	278	1797
134	279	1789
135	280	1780
136	281	1771
137	281	1761
138	282	1752
139	283	1744
140	284	1735
141	285	1727
142	286	1718
143	287	1710
144	288	1703
145	289	1695
146	291	1688
147	291	1680
148	293	1673
149	294	1667
150	295	1660
151	296	1653
152	297	1646
153	298	1639
154	299	1632
155	300	1625
156	301	1618
157	302	1611
158	303	1604
159	304	1598
160	305	1591
161	306	1584
162	307	1577
163	308	1571
164	309	1564
165	310	1558
166	311	1551
167	312	1545
168	313	1541
169	314	1534
170	315	1528
171	316	1522
172	317	1516
173	318	1510
174	319	1505
175	320	1502
176	321	1496
177	322	1491
178	324	1487
179	325	1481
180	325	1474
181	326	1468
182	327	1463
183	328	1458
184	329	1452
185	330	1447
186	331	1441
187	332	1436
188	333	1431
189	334	1425
190	335	1419
191	336	1414
192	336	1409
193	337	1403
194	338	1398
195	339	1394
196	340	1389
197	341	1383
198	342	1378
199	343	1373
200	344	1369
201	345	1363
202	346	1359
203	347	1354
204	348	1351
205	349	1347
206	350	1342
207	351	1338
208	352	1335
209	353	1331
210	354	1327
211	355	1323
212	356	1318
213	357	1314
214	358	1310
215	359	1305
216	360	1302
217	361	1297
218	362	1293
219	363	1288
220	364	1285
221	365	1280
222	366	1276
223	367	1271
224	368	1267
225	369	1263
226	369	1259
227	370	1255
228	371	1251
229	372	1246
230	373	1242
231	374	1238
232	375	1234
233	375	1230
234	376	1226
235	377	1222
236	378	1218
237	379	1215
238	380	1212
239	381	1208
240	382	1205
241	383	1202
242	384	1198
243	385	1194
244	386	1191
245	387	1187
246	388	1183
247	389	1180
248	390	1176
249	391	1173
250	391	1169
251	392	1165
252	393	1162
253	394	1158
254	395	1155
255	396	1152
256	397	1149
257	398	1145
258	399	1142
259	400	1138
260	400	1135
261	401	1132
262	402	1128
263	403	1125
264	404	1121
265	405	1118
266	406	1115
267	407	1112
268	408	1109
269	409	1106
270	410	1104
271	411	1101
272	412	1098
273	413	1095
274	414	1092
275	415	1089
276	416	1086
277	417	1083
278	418	1080
279	418	1076
280	419	1073
281	420	1070
282	421	1067
283	422	1064
284	423	1061
285	423	1058
286	424	1055
287	425	1052
288	426	1049
289	427	1046
290	428	1044
291	429	1041
292	430	1038
293	431	1035
294	431	1032
295	432	1029
296	433	1026
297	434	1023
298	435	1021
299	436	1018
300	437	1016
301	438	1013
302	439	1012
303	441	1009
304	442	1007
305	443	1004
306	444	1002
307	445	1000
308	446	997
309	447	995
310	448	992
311	449	990
312	449	987
313	451	985
314	452	983
315	453	980
316	453	978
317	455	975
318	455	973
319	456	970
320	457	968
321	458	966
322	459	963
323	460	961
324	461	958
325	462	956
326	463	953
327	464	951
328	465	949
329	466	947
330	467	944
331	468	942
332	469	939
333	470	937
334	471	934
335	471	932
336	472	930
337	473	927
338	474	925
339	475	923
340	476	920
341	477	918
342	478	915
343	479	914
344	480	912
345	481	910
346	482	908
347	483	905
348	484	903
349	485	901
350	486	898
351	487	896
352	487	894
353	488	892
354	489	889
355	490	887
356	491	885
357	492	882
358	493	880
359	494	878
360	495	876
361	495	874
362	497	872
363	498	870
364	499	868
365	500	866
366	501	864
367	502	862
368	503	860
369	504	858
370	505	856
371	506	854
372	506	852
373	507	849
374	508	847
375	509	845
376	510	843
377	511	841
378	512	839
379	512	836
380	513	834
381	514	832
382	515	831
383	516	828
384	517	827
385	518	825
386	519	822
387	520	820
388	521	818
389	522	816
390	522	814
391	523	812
392	524	810
393	525	808
394	526	806
395	527	804
396	528	802
397	529	800
398	530	798
399	531	796
400	532	794
401	532	792
402	533	790
403	534	789
404	536	787
405	537	786
406	538	784
407	539	782
408	540	780
409	541	778
410	542	776
411	542	774
412	543	773
413	544	771
414	545	769
415	546	767
416	547	765
417	548	763
418	549	761
419	550	759
420	551	758
421	552	756
422	552	754
423	553	752
424	554	750
425	555	748
426	556	747
427	557	745
428	558	743
429	559	742
430	560	740
431	561	738
432	562	737
433	563	735
434	564	733
435	565	731
436	566	729
437	567	727
438	568	725
439	569	724
440	570	722
441	570	720
442	571	719
443	572	717
444	573	715
445	574	713
446	575	711
447	576	710
448	577	708
449	578	706
450	579	705
451	580	703
452	581	701
453	582	699
454	582	698
455	583	696
456	584	694
457	585	692
458	586	691
459	587	689
